application_number,examiner_id,au,app_filing_date,app_last_action_date,app_disposal_type,gender,race,examiner_earliest_date,processing_time,au_group,tenure,latest_action_date_x,latest_action_date_y,latest_action_date,degree,betweenness,closeness,degree_weighted_by_tenure,app_proc_time,num_applications
12252008,78715.0,179,2008-10-15,2015-02-13,ISS,male,white,2003-04-02,2312,179,4335,2017-04-14,2015-02-13,2015-02-13,0.02112676056338028,0.0,0.12829205717576836,8670.0,2312,1
14405614,65536.0,162,2014-12-04,2016-11-16,ISS,female,Asian,2000-01-07,713,162,6158,2017-05-22,2016-11-16,2016-11-16,,,,,713,5
14233670,65536.0,162,2014-10-15,2016-03-14,ABN,female,Asian,2000-01-07,516,162,6158,2017-05-22,2016-11-16,2016-11-16,,,,,763,5
13419936,94925.0,162,2012-03-14,2012-10-24,ISS,female,Hispanic,2003-06-10,224,162,5048,2017-05-23,2017-04-05,2017-04-05,0.007042253521126761,0.0,0.007042253521126761,5048.0,1848,3
09989682,63188.0,179,2001-11-20,2009-09-23,ISS,male,white,2000-01-03,2864,179,3787,2015-12-24,2010-05-17,2010-05-17,0.014084507042253521,0.0,0.13943661971830987,9978.0,3100,2
14649759,99317.0,162,2015-06-04,2017-01-31,PEND,female,black,2002-05-07,607,162,5455,2017-05-18,2017-04-13,2017-04-13,,,,,679,3
12866054,88110.0,162,2010-08-04,2014-06-25,ISS,female,white,2000-01-11,1421,162,6292,2017-05-23,2017-04-03,2017-04-03,,,,,2434,10
14222863,64851.0,162,2014-03-24,2015-09-28,ABN,male,Asian,2004-04-16,553,162,4182,2017-05-23,2015-09-28,2015-09-28,,,,,553,2
10221762,69099.0,179,2002-09-13,2007-11-16,ABN,male,white,2000-06-16,1890,179,5934,2017-05-23,2016-09-14,2016-09-14,,,,,5115,1
15017049,99424.0,162,2016-02-05,2017-05-01,PEND,male,white,2002-12-06,451,162,5260,2017-05-23,2017-05-01,2017-05-01,,,,,451,3
11636432,69896.0,162,2006-12-11,2010-01-06,ABN,male,white,2004-03-31,1122,162,3169,2017-01-19,2012-12-03,2012-12-03,,,,,2184,2
09503920,65111.0,162,2000-02-14,2005-10-12,ISS,male,white,2000-01-03,2067,162,2627,2017-05-23,2007-03-14,2007-03-14,0.014084507042253521,0.0,0.0,2627.0,2585,1
14530528,71760.0,179,2014-10-31,2017-03-29,ISS,female,Asian,2002-08-01,880,179,5402,2017-05-23,2017-05-16,2017-05-16,,,,,928,3
10462030,71848.0,162,2003-06-13,2010-02-17,ISS,male,Asian,2000-02-08,2441,162,6301,2017-05-23,2017-05-10,2017-05-10,,,,,5080,4
13511184,98205.0,162,2012-05-22,2014-07-16,ISS,male,white,2000-01-03,785,162,6190,2017-05-22,2016-12-14,2016-12-14,,,,,1667,3
10437509,76271.0,162,2003-05-14,2004-09-23,ISS,male,white,2000-01-05,498,162,3631,2017-04-21,2009-12-14,2009-12-14,,,,,2406,5
14914666,62661.0,162,2016-02-26,2017-04-19,PEND,female,white,2000-03-10,418,162,6249,2017-05-23,2017-04-19,2017-04-19,,,,,418,5
10967993,95970.0,179,2004-10-19,2010-02-17,ISS,male,Asian,2000-01-18,1947,179,5638,2017-05-19,2015-06-26,2015-06-26,0.035211267605633804,0.11957314486532347,0.180683577907234,21961.0,3902,2
14874424,75596.0,179,2015-10-03,2016-01-29,PEND,male,white,2000-01-03,118,179,5870,2017-05-19,2016-01-29,2016-01-29,,,,,118,1
13455092,79829.0,179,2012-04-24,2015-01-12,ABN,male,white,2005-11-04,993,179,3842,2017-05-23,2016-05-12,2016-05-12,,,,,1479,2
11266411,95970.0,179,2005-11-03,2009-07-20,ABN,male,Asian,2000-01-18,1355,179,5638,2017-05-19,2015-06-26,2015-06-26,0.035211267605633804,0.11957314486532347,0.180683577907234,21961.0,3522,2
10716877,69228.0,179,2003-11-20,2010-03-17,ISS,female,Asian,2001-10-31,2309,179,3059,2016-04-15,2010-03-17,2010-03-17,,,,,2309,1
11968015,84267.0,179,2007-12-31,2010-09-28,ABN,male,white,2004-06-30,1002,179,2281,2017-05-22,2010-09-28,2010-09-28,0.007042253521126761,0.0,0.007042253521126761,2281.0,1002,1
10528629,64548.0,179,2005-03-22,2010-06-07,ABN,male,white,2000-01-07,1903,179,4616,2017-05-23,2012-08-27,2012-08-27,0.007042253521126761,0.0,0.14500236714404072,6043.0,2715,3
09701473,78399.0,162,2000-11-29,2002-02-21,ISS,male,white,2000-01-11,449,162,4882,2017-03-03,2013-05-24,2013-05-24,,,,,4559,2
11078388,84558.0,179,2005-03-14,2016-09-06,ABN,female,white,2000-03-06,4194,179,6028,2017-05-19,2016-09-06,2016-09-06,,,,,4194,1
11750223,96654.0,179,2007-05-17,2009-11-06,ABN,male,white,2004-05-26,904,179,3446,2015-10-07,2013-11-01,2013-11-01,,,,,2360,2
11389069,99922.0,179,2006-03-27,2009-06-24,ISS,male,white,2005-03-25,1185,179,4044,2017-05-17,2016-04-20,2016-04-20,,,,,3677,1
15255226,59632.0,162,2016-09-02,2017-01-11,PEND,female,white,2000-01-18,131,162,6203,2017-05-23,2017-01-11,2017-01-11,,,,,131,3
11402422,70043.0,179,2006-04-11,2010-09-28,ABN,female,white,2000-02-28,1631,179,4993,2017-05-23,2013-10-30,2013-10-30,,,,,2759,1
11544326,69711.0,179,2006-10-06,2009-07-29,ISS,female,Asian,2000-01-19,1027,179,6287,2017-05-19,2017-04-06,2017-04-06,0.014084507042253521,0.009789231844970533,0.0861686975787308,12574.0,3835,1
12755218,60321.0,162,2010-04-06,2011-11-22,ISS,male,white,2001-03-16,595,162,5570,2017-05-23,2016-06-15,2016-06-15,,,,,2262,4
14008141,64104.0,179,2013-09-27,2016-09-15,ABN,female,white,2011-08-02,1084,179,1871,2017-05-19,2016-09-15,2016-09-15,,,,,1084,2
15155647,96898.0,162,2016-05-16,2016-08-17,ISS,female,white,2000-11-27,93,162,5742,2017-05-22,2016-08-17,2016-08-17,,,,,93,4
12703004,88110.0,162,2010-02-09,2013-03-06,ISS,female,white,2000-01-11,1121,162,6292,2017-05-23,2017-04-03,2017-04-03,,,,,2610,10
10456892,77348.0,162,2003-06-06,2014-08-29,ISS,female,white,2000-01-03,4102,162,5352,2017-04-14,2014-08-29,2014-08-29,0.007042253521126761,0.0,0.009389671361502348,2078.0,4102,4
11470944,59227.0,179,2006-09-07,2008-04-01,ABN,female,white,2000-01-04,572,179,6128,2017-05-23,2016-10-14,2016-10-14,0.014084507042253521,0.02876835480970932,0.1264123200742919,3944.0,3690,1
11406296,71848.0,162,2006-04-19,2009-11-12,ABN,male,Asian,2000-02-08,1303,162,6301,2017-05-23,2017-05-10,2017-05-10,,,,,4039,4
13389898,73614.0,162,2012-04-30,2013-11-26,ISS,female,Hispanic,2005-01-11,575,162,3648,2017-05-19,2015-01-07,2015-01-07,,,,,982,2
15255906,92329.0,162,2016-09-02,2017-04-10,PEND,female,white,2000-01-06,220,162,6304,2017-05-18,2017-04-10,2017-04-10,,,,,220,3
13812310,63187.0,179,2013-01-25,2014-12-10,ISS,male,white,2010-11-19,684,179,2326,2017-05-23,2017-04-02,2017-04-02,,,,,1528,1
11338153,63814.0,179,2006-01-24,2009-01-21,ABN,female,Asian,2000-01-31,1093,179,5765,2017-05-18,2015-11-13,2015-11-13,,,,,3580,1
11326227,60820.0,179,2006-01-04,2009-09-21,ABN,female,white,2005-05-09,1356,179,1596,2017-05-23,2009-09-21,2009-09-21,0.007042253521126761,0.0,0.11389624877980756,1596.0,1356,1
12682049,75034.0,162,2010-04-08,2012-07-18,ISS,male,Asian,2000-01-04,832,162,6065,2017-05-19,2016-08-12,2016-08-12,0.007042253521126761,0.0,0.007042253521126761,5048.0,2318,5
11019046,78736.0,179,2004-12-21,2010-09-08,ISS,female,white,2001-10-10,2087,179,3737,2017-05-19,2012-01-03,2012-01-03,,,,,2569,1
13458953,99718.0,179,2012-04-27,2014-10-08,ISS,female,black,2005-04-04,894,179,4214,2017-05-19,2016-10-17,2016-10-17,,,,,1634,2
10551677,99930.0,179,2005-09-29,2009-08-13,ABN,female,white,2000-01-14,1414,179,6291,2017-05-18,2017-04-05,2017-04-05,0.02112676056338028,0.0,0.009389671361502348,8453.0,4206,1
11998227,61600.0,162,2007-11-29,2010-02-10,ISS,male,white,2001-03-06,804,162,4805,2017-05-12,2014-05-02,2014-05-02,,,,,2346,3
14909291,94785.0,179,2016-02-01,2016-10-19,ISS,male,white,2003-06-10,261,179,4880,2017-05-19,2016-10-19,2016-10-19,,,,,261,3
13115245,65536.0,162,2011-05-25,2014-01-28,ABN,female,Asian,2000-01-07,979,162,6158,2017-05-22,2016-11-16,2016-11-16,,,,,2002,5
11792189,62661.0,162,2007-05-31,2011-01-31,ABN,female,white,2000-03-10,1341,162,6249,2017-05-23,2017-04-19,2017-04-19,,,,,3611,5
11407003,94163.0,179,2006-04-18,2013-12-27,ISS,male,white,2004-03-10,2810,179,3579,2017-05-23,2013-12-27,2013-12-27,,,,,2810,2
13272187,93051.0,162,2011-10-12,2015-03-25,ISS,female,Asian,2004-02-11,1260,162,4251,2017-05-22,2015-10-02,2015-10-02,,,,,1451,3
12169813,88110.0,162,2008-07-09,2009-06-17,ISS,female,white,2000-01-11,343,162,6292,2017-05-23,2017-04-03,2017-04-03,,,,,3190,10
