application_number,advice_date,ego_examiner_id,alter_examiner_id
9755512,2008-10-28,60449.0,97961.0
9756120,2008-07-11,75973.0,76536.0
9756120,2008-12-26,75973.0,76536.0
9756120,2008-07-11,75973.0,62242.0
9758267,2008-12-04,62919.0,60897.0
9758267,2008-12-04,62919.0,98690.0
9758267,2008-12-04,62919.0,96691.0
9758267,2008-12-04,62919.0,80174.0
9758267,2008-12-04,62919.0,78036.0
9758267,2008-12-04,62919.0,98833.0
9758267,2008-12-04,62919.0,63639.0
9760039,2008-06-16,95726.0,91338.0
9760588,2008-05-28,92462.0,67256.0
9763338,2008-01-02,73722.0,59768.0
9764662,2008-08-28,90294.0,92028.0
9765246,2008-11-26,97974.0,65231.0
9766035,2008-06-20,67093.0,94385.0
9766035,2008-06-20,67093.0,71943.0
9766035,2008-06-20,67093.0,98302.0
9766035,2008-06-20,67093.0,62095.0
9766133,2008-08-20,97974.0,78241.0
9766133,2008-08-20,97974.0,94120.0
9769392,2008-03-26,74039.0,62528.0
9770571,2008-01-02,96764.0,60716.0
9770769,2008-01-02,68425.0,62540.0
9770769,2008-01-02,68425.0,97703.0
9771054,2008-07-21,90588.0,82244.0
9771054,2008-07-21,90588.0,62480.0
9775170,2008-05-13,60501.0,67389.0
9778259,2008-11-20,60067.0,91747.0
9778259,2008-06-02,60067.0,71087.0
9778259,2008-11-20,60067.0,73722.0
9778259,2008-11-20,60067.0,81365.0
9778474,2008-11-17,73223.0,92569.0
9778474,2008-11-17,73223.0,71764.0
9778474,2008-11-17,73223.0,61485.0
9779779,2008-12-31,97974.0,94120.0
9779779,2008-12-31,97974.0,96021.0
9780035,2008-08-12,96963.0,72882.0
9781329,2008-03-28,83122.0,67389.0
9781680,2008-06-20,97974.0,66839.0
9781680,2008-06-20,97974.0,63823.0
9782187,2008-01-29,63962.0,92464.0
9782187,2008-01-29,63962.0,70835.0
9782850,2008-10-01,61477.0,78350.0
9782896,2008-07-09,97974.0,71229.0
9785518,2008-05-27,94270.0,99319.0
9785518,2008-05-27,94270.0,81337.0
9785518,2008-05-27,94270.0,66927.0
9786527,2008-10-28,60501.0,67389.0
9786527,2008-10-28,60501.0,98738.0
9788268,2008-11-20,72848.0,96339.0
9788268,2008-11-20,72848.0,67515.0
9788281,2008-06-12,94270.0,76378.0
9788281,2008-06-12,94270.0,67389.0
9788281,2008-06-12,94270.0,97655.0
9788329,2008-07-21,83122.0,67389.0
9788329,2008-07-21,83122.0,61969.0
9801958,2008-08-27,60977.0,96653.0
9801958,2008-08-27,60977.0,65572.0
9804074,2008-04-29,95938.0,67389.0
9804907,2008-01-23,69524.0,62242.0
9809029,2008-09-29,97910.0,65790.0
9809029,2008-09-29,97910.0,59738.0
9809029,2008-09-29,97910.0,99004.0
9809273,2008-04-01,76927.0,77184.0
9809273,2008-10-08,76927.0,77184.0
9809325,2008-04-21,66400.0,80643.0
9809325,2008-04-21,66400.0,63106.0
9809325,2008-04-21,66400.0,69502.0
9810625,2008-01-24,72573.0,74333.0
9812872,2008-06-30,65566.0,93567.0
9814182,2008-08-06,63962.0,92028.0
9814337,2008-02-28,66255.0,96254.0
9814337,2008-02-28,66255.0,98984.0
9814337,2008-11-05,66255.0,98984.0
9814607,2008-12-19,80410.0,98534.0
9814607,2008-12-19,80410.0,92028.0
9817300,2008-06-26,84860.0,92464.0
9817731,2008-02-07,71004.0,60897.0
9817731,2008-02-07,71004.0,98690.0
9817731,2008-02-07,71004.0,96691.0
9817731,2008-02-07,71004.0,80174.0
9817731,2008-02-07,71004.0,78036.0
9817731,2008-02-07,71004.0,98783.0
9818699,2008-01-25,96885.0,81442.0
9820158,2008-12-11,59811.0,67581.0
9820158,2008-12-11,59811.0,70571.0
9820158,2008-12-11,59811.0,67256.0
9820158,2008-12-11,59811.0,64900.0
9820858,2008-08-25,90588.0,62480.0
9821190,2008-03-07,66685.0,67389.0
9821584,2008-11-20,92812.0,65586.0
9821584,2008-11-20,92812.0,60128.0
9821584,2008-11-20,92812.0,65617.0
9822300,2008-01-31,97590.0,87028.0
9822675,2008-11-25,91354.0,71487.0
9822686,2008-01-28,76621.0,84122.0
9822950,2008-06-30,71004.0,80643.0
9822950,2008-06-30,71004.0,63106.0
9822950,2008-06-30,71004.0,69502.0
9822950,2008-01-23,71004.0,68338.0
9822950,2008-06-30,71004.0,68338.0
9822950,2008-01-23,71004.0,63589.0
9823429,2008-03-17,60501.0,67389.0
9823508,2008-12-31,87031.0,96004.0
9823508,2008-12-31,87031.0,81731.0
9823835,2008-03-20,96764.0,67389.0
9824035,2008-09-04,79978.0,65231.0
9824367,2008-04-28,60501.0,67389.0
9824493,2008-03-27,85308.0,85057.0
9824493,2008-03-27,85308.0,69090.0
9824997,2008-07-28,61111.0,92464.0
9825423,2008-07-28,84356.0,98531.0
9825423,2008-07-28,84356.0,64050.0
9826118,2008-02-04,84460.0,71175.0
9826118,2008-02-04,84460.0,67426.0
9826157,2008-06-26,92812.0,73271.0
9826157,2008-06-26,92812.0,81876.0
9826157,2008-06-26,92812.0,94289.0
9826198,2008-09-16,74148.0,96021.0
9826198,2008-09-16,74148.0,94753.0
9827127,2008-06-13,94230.0,93380.0
9827127,2008-06-13,94230.0,97961.0
9827127,2008-09-30,94230.0,97961.0
9827332,2008-11-26,88077.0,87028.0
9828864,2008-08-19,78821.0,62919.0
9828864,2008-01-24,78821.0,95417.0
9828864,2008-08-19,78821.0,95417.0
9829516,2008-11-24,67705.0,93380.0
9829516,2008-11-24,67705.0,62721.0
9829937,2008-01-09,93735.0,85057.0
9829937,2008-01-09,93735.0,69090.0
9829937,2008-01-09,93735.0,92569.0
9830972,2008-04-24,93839.0,71946.0
9831274,2008-04-30,60501.0,67389.0
9831954,2008-09-30,63388.0,67256.0
9833222,2008-12-22,74224.0,65024.0
9833222,2008-12-22,74224.0,94911.0
9834796,2008-09-24,69116.0,85308.0
9835537,2008-12-11,59811.0,72814.0
9835537,2008-12-11,59811.0,67581.0
9836397,2008-07-11,69116.0,62528.0
9836397,2008-07-11,69116.0,89752.0
9836584,2008-10-17,66400.0,99771.0
9836584,2008-10-17,66400.0,61679.0
9836584,2008-10-17,66400.0,71695.0
9837307,2008-01-17,60280.0,93804.0
9837505,2008-11-25,75973.0,76536.0
9837844,2008-04-03,97974.0,94120.0
9837844,2008-11-25,97974.0,94120.0
9837844,2008-04-03,97974.0,61386.0
9837844,2008-11-25,97974.0,61386.0
9837844,2008-04-03,97974.0,65231.0
9837844,2008-11-25,97974.0,65231.0
9837844,2008-04-03,97974.0,66839.0
9837844,2008-11-25,97974.0,66839.0
9837844,2008-04-03,97974.0,63823.0
9837844,2008-11-25,97974.0,63823.0
9837844,2008-04-03,97974.0,73703.0
9837844,2008-11-25,97974.0,73703.0
9838436,2008-02-11,84516.0,76536.0
9838436,2008-02-11,84516.0,62242.0
9839433,2008-05-21,91688.0,71059.0
9839433,2008-11-04,91688.0,71059.0
9839509,2008-12-16,62919.0,60897.0
9839509,2008-12-16,62919.0,98690.0
9839509,2008-12-16,62919.0,96691.0
9839509,2008-12-16,62919.0,80174.0
9839509,2008-12-16,62919.0,78036.0
9839509,2008-12-16,62919.0,95417.0
9839509,2008-12-16,62919.0,63639.0
9840923,2008-01-03,67078.0,75969.0
9841266,2008-05-13,98690.0,80254.0
9842082,2008-05-29,97974.0,65231.0
9842082,2008-12-11,97974.0,65231.0
9842127,2008-06-13,99122.0,83845.0
9842127,2008-06-13,99122.0,68231.0
9842127,2008-06-13,99122.0,83313.0
9842127,2008-06-13,99122.0,92028.0
9845606,2008-12-08,91791.0,72089.0
9845839,2008-01-11,60130.0,97202.0
9845839,2008-01-11,60130.0,96465.0
9846521,2008-01-25,64660.0,76536.0
9846907,2008-02-12,73722.0,66805.0
9846991,2008-11-17,94270.0,76378.0
9846991,2008-11-17,94270.0,97655.0
9848713,2008-07-23,65867.0,87917.0
9848713,2008-07-23,65867.0,62242.0
9848987,2008-10-24,65566.0,77825.0
9848987,2008-10-24,65566.0,62528.0
9849969,2008-04-16,96963.0,67657.0
9850384,2008-07-07,90049.0,67389.0
9850384,2008-09-15,90049.0,67389.0
9851363,2008-01-08,60501.0,67389.0
9851674,2008-08-11,59407.0,98182.0
9851674,2008-03-13,59407.0,96339.0
9851674,2008-08-11,59407.0,96339.0
9851674,2008-03-13,59407.0,67515.0
9851674,2008-08-11,59407.0,67515.0
9852229,2008-05-29,79978.0,73703.0
